won,lost,size,elapsed_time,last_move_random,agent
True,False,8,0.0029690000000002215,False,fol
True,False,8,0.0024500000000005073,False,fol
False,True,8,0.0005129999999997636,True,fol
True,False,8,0.0023479999999995727,False,fol
True,False,8,0.0023170000000005686,False,fol
True,False,8,0.0010339999999997573,True,fol
True,False,8,0.002387000000000583,False,fol
True,False,8,0.002513999999999683,False,fol
True,False,8,0.002811000000000341,False,fol
True,False,8,0.002457999999999849,False,fol
True,False,8,0.00247099999999989,False,fol
True,False,8,0.0024160000000001958,False,fol
True,False,8,0.0022050000000000125,False,fol
True,False,8,0.0027020000000002042,False,fol
True,False,8,0.002330999999999861,False,fol
True,False,8,0.0023409999999994824,False,fol
True,False,8,0.0022900000000003473,False,fol
True,False,8,0.0024920000000001608,False,fol
True,False,8,0.0024969999999999715,False,fol
True,False,8,0.002771000000000079,False,fol
True,False,8,0.0019059999999999633,False,fol
True,False,8,0.002634999999999721,False,fol
True,False,8,0.0022980000000005774,False,fol
True,False,8,0.0011120000000000019,True,fol
True,False,8,0.002432000000000656,False,fol
True,False,8,0.002659000000000411,False,fol
True,False,8,0.002355000000000551,False,fol
True,False,8,0.002271000000000356,False,fol
True,False,8,0.0026209999999995404,False,fol
True,False,8,0.0023980000000003443,False,fol
True,False,8,0.0023879999999998347,False,fol
True,False,8,0.002582999999999558,False,fol
True,False,8,0.001987000000000627,False,fol
True,False,8,0.0025360000000000937,False,fol
True,False,8,0.0025380000000003733,False,fol
True,False,8,0.002642999999999951,False,fol
True,False,8,0.0027199999999991675,False,fol
True,False,8,0.0028839999999998867,False,fol
False,True,8,0.0004780000000002005,True,fol
True,False,8,0.0024599999999992406,False,fol
True,False,8,0.0024180000000004753,False,fol
True,False,8,0.002070999999999934,False,fol
True,False,8,0.0022129999999993544,False,fol
True,False,8,0.0024799999999993716,False,fol
True,False,8,0.0009490000000003107,True,fol
True,False,8,0.0024799999999993716,False,fol
False,True,8,0.00016200000000043957,True,fol
True,False,8,0.000980000000000203,True,fol
True,False,8,0.0024479999999993396,False,fol
True,False,8,0.0021329999999997185,False,fol
True,False,8,0.0021839999999997417,False,fol
True,False,8,0.0022039999999998727,False,fol
True,False,8,0.002124000000000237,False,fol
True,False,8,0.002371000000000123,False,fol
True,False,8,0.0024600000000001288,False,fol
True,False,8,0.002769999999999939,False,fol
True,False,8,0.003038000000000096,False,fol
True,False,8,0.0021610000000000795,False,fol
True,False,8,0.002435000000000187,False,fol
True,False,8,0.00291899999999945,False,fol
True,False,8,0.0018820000000001613,False,fol
True,False,8,0.0010040000000000049,True,fol
True,False,8,0.0021729999999999805,False,fol
True,False,8,0.0026780000000004023,False,fol
True,False,8,0.002346999999999433,False,fol
True,False,8,0.002340000000000231,False,fol
True,False,8,0.002199000000000062,False,fol
False,True,8,0.0015459999999993812,True,fol
True,False,8,0.0023770000000000735,False,fol
True,False,8,0.0019900000000001583,False,fol
True,False,8,0.0026640000000002217,False,fol
True,False,8,0.002581999999999418,False,fol
True,False,8,0.0024340000000000472,False,fol
False,True,8,0.0001660000000001105,True,fol
True,False,8,0.002881999999999607,False,fol
True,False,8,0.00231099999999973,False,fol
False,True,8,0.0024779999999999802,True,fol
True,False,8,0.0020139999999999603,False,fol
True,False,8,0.002413999999999916,False,fol
True,False,8,0.0022729999999997474,False,fol
True,False,8,0.0024449999999998084,False,fol
True,False,8,0.001843000000000039,False,fol
True,False,8,0.0023699999999999832,False,fol
True,False,8,0.0022500000000000853,False,fol
True,False,8,0.0023479999999995727,False,fol
False,True,8,0.0003329999999994726,True,fol
True,False,8,0.0023999999999997357,False,fol
True,False,8,0.0021719999999998407,False,fol
True,False,8,0.002360000000000362,False,fol
False,True,8,0.00033400000000050056,True,fol
True,False,8,0.0021940000000002513,False,fol
True,False,8,0.0016540000000002664,False,fol
True,False,8,0.0025040000000000617,False,fol
True,False,8,0.002508000000000621,False,fol
True,False,8,0.0025810000000001665,False,fol
True,False,8,0.0021930000000001115,False,fol
True,False,8,0.0024799999999993716,False,fol
True,False,8,0.0023610000000005016,False,fol
True,False,8,0.002413999999999916,False,fol
True,False,8,0.002247000000000554,False,fol
True,False,8,0.24717500000000037,False,neural
True,False,8,0.23048500000000072,False,neural
True,False,8,0.0009269999999999001,False,neural
True,False,8,0.06313600000000008,False,neural
False,True,8,0.10912899999999937,False,neural
False,True,8,0.050644999999999385,False,neural
True,False,8,0.18228699999999964,False,neural
True,False,8,0.18070400000000042,False,neural
True,False,8,0.16819899999999954,False,neural
True,False,8,0.15296800000000133,False,neural
True,False,8,0.09728899999999996,False,neural
False,True,8,0.07135599999999975,False,neural
False,True,8,0.105163000000001,False,neural
False,True,8,0.05411699999999975,False,neural
False,True,8,2.2999999998774e-05,False,neural
True,False,8,0.19818499999999872,False,neural
True,False,8,0.14147899999999858,False,neural
True,False,8,0.13019200000000097,False,neural
False,True,8,0.03555799999999998,False,neural
True,False,8,0.1557410000000008,False,neural
False,True,8,0.026718000000000686,False,neural
True,False,8,0.1539230000000007,False,neural
True,False,8,0.16167399999999965,False,neural
True,False,8,0.11611800000000017,False,neural
False,True,8,0.07118600000000086,False,neural
True,False,8,0.29686599999999963,False,neural
True,False,8,0.15928399999999954,False,neural
True,False,8,0.10998600000000103,False,neural
True,False,8,0.11300300000000085,False,neural
False,True,8,2.3999999999801958e-05,False,neural
True,False,8,0.0504200000000008,False,neural
True,False,8,0.02605700000000155,False,neural
True,False,8,0.025584000000000273,False,neural
True,False,8,0.08909500000000037,False,neural
True,False,8,0.16210000000000058,False,neural
False,True,8,0.2594750000000001,False,neural
True,False,8,0.10240399999999994,False,neural
True,False,8,0.11383399999999888,False,neural
False,True,8,2.3999999999801958e-05,False,neural
True,False,8,0.19202399999999997,False,neural
False,True,8,0.07940199999999997,False,neural
False,True,8,0.1056910000000002,False,neural
True,False,8,0.20767799999999959,False,neural
True,False,8,0.10820600000000091,False,neural
True,False,8,0.21963100000000146,False,neural
True,False,8,0.43120900000000084,False,neural
True,False,8,0.0008100000000013097,False,neural
True,False,8,0.0634920000000001,False,neural
True,False,8,0.2286999999999999,False,neural
True,False,8,0.0787469999999999,False,neural
True,False,8,0.07580799999999854,False,neural
True,False,8,0.17018199999999872,False,neural
True,False,8,0.21645899999999862,False,neural
True,False,8,0.10782399999999903,False,neural
True,False,8,0.12454800000000077,False,neural
True,False,8,0.10572600000000065,False,neural
True,False,8,0.02675799999999917,False,neural
True,False,8,0.18734899999999932,False,neural
True,False,8,0.20886299999999913,False,neural
True,False,8,0.08008099999999985,False,neural
True,False,8,0.10265599999999964,False,neural
False,True,8,0.13575299999999935,False,neural
True,False,8,0.13537899999999858,False,neural
True,False,8,0.11400399999999955,False,neural
True,False,8,0.22643399999999936,False,neural
True,False,8,0.22041500000000092,False,neural
True,False,8,0.07881500000000052,False,neural
True,False,8,0.32263900000000056,False,neural
True,False,8,0.10755200000000009,False,neural
